epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.727,1.86349,2.22258,1.16246,0.01897,0.50685,0.16655,0.06466,1.71569,3.15491,1.15715,0.00026,0.00026,0.00026
2,346.647,1.77877,1.40261,1.11309,1,0.13846,0.41461,0.21658,1.74808,2.55636,1.13635,0.00051327,0.00051327,0.00051327
3,517.518,1.68747,1.20906,1.11597,1,0.14662,0.40695,0.19249,1.84521,2.71888,1.18357,0.00073882,0.00073882,0.00073882
4,675.543,1.64151,1.11427,1.06165,0.48325,0.03857,0.18121,0.08676,1.78633,2.93242,1.19592,0.00093665,0.00093665,0.00093665
5,830.968,1.65384,1.08249,1.06893,0.01333,0.35616,0.01427,0.00653,2.10989,3.25511,1.47384,0.00110676,0.00110676,0.00110676
6,983.461,1.65393,1.05774,1.07821,0.69876,0.35616,0.56862,0.26704,1.76957,2.04743,1.17868,0.00124915,0.00124915,0.00124915
7,1133.42,1.60721,1.00729,1.07512,0.94678,0.36557,0.58194,0.29343,1.7483,1.91426,1.15591,0.00136382,0.00136382,0.00136382
8,1278.31,1.58923,0.96886,1.06345,0.86744,0.42466,0.54482,0.28461,1.7195,1.62212,1.14831,0.001307,0.001307,0.001307
9,1421.44,1.59315,0.97252,1.0486,0.7666,0.55479,0.6712,0.32384,1.70442,1.48159,1.12138,0.001208,0.001208,0.001208
10,1564.42,1.58059,0.88078,1.05236,0.79384,0.50112,0.65373,0.32624,1.71623,1.288,1.1297,0.001109,0.001109,0.001109
11,1713.04,1.52791,0.93883,1.06717,0.85644,0.44948,0.58093,0.28633,1.79142,1.51412,1.0963,0.00101,0.00101,0.00101
12,1852.87,1.49303,0.90636,1.05643,0.91412,0.42466,0.61141,0.29124,1.7912,1.20842,1.13588,0.000911,0.000911,0.000911
13,1991.43,1.52871,0.89251,1.06929,0.78735,0.4726,0.61497,0.30488,1.70245,1.20881,1.14271,0.000812,0.000812,0.000812
14,2130.06,1.50242,0.83378,1.05455,0.681,0.57534,0.66023,0.32805,1.70176,1.11576,1.15405,0.000713,0.000713,0.000713
15,2267.94,1.5254,0.81279,1.07743,0.76375,0.53425,0.67077,0.335,1.6903,1.10909,1.12346,0.000614,0.000614,0.000614
16,2406.21,1.50546,0.78691,1.05274,0.74071,0.67123,0.74318,0.36762,1.64677,1.04195,1.1219,0.000515,0.000515,0.000515
17,2544.61,1.47248,0.76646,1.0478,0.72936,0.70548,0.76072,0.36979,1.6833,0.95717,1.13208,0.000416,0.000416,0.000416
18,2686.41,1.48981,0.7836,1.05271,0.70636,0.69199,0.76429,0.37397,1.67598,0.94569,1.12833,0.000317,0.000317,0.000317
19,2830.47,1.46165,0.74474,1.03697,0.72508,0.67808,0.7608,0.37124,1.69257,0.92608,1.13067,0.000218,0.000218,0.000218
20,2976.68,1.44982,0.73571,1.0278,0.73222,0.67425,0.74796,0.3653,1.66161,0.92001,1.1309,0.000119,0.000119,0.000119
